dataset,model,c,ql_trunc,precision0,recall0,f1
fresh_retail,FEDformer,0.1,0.325709,0.590722,0.193158,0.291123
fresh_retail,FEDformer,0.25,0.325463,0.560489,0.320702,0.40797
fresh_retail,FEDformer,0.5,0.328796,0.508925,0.567277,0.536519
fresh_retail,FEDformer,0.75,0.343776,0.462205,0.767612,0.576987
fresh_retail,FEDformer,1.0,0.371321,0.423389,0.884266,0.57261
fresh_retail,FEDformer,1.5,0.221489,0.890689,0.941452,0.915367
fresh_retail,FEDformer,2.0,0.231844,0.854554,0.977946,0.912096
fresh_retail,HurdleDLinear,0.1,0.474665,0.338063,0.586272,0.428843
fresh_retail,HurdleDLinear,0.25,0.474946,0.347369,0.65019,0.452817
fresh_retail,HurdleDLinear,0.5,0.477181,0.360363,0.782436,0.493457
fresh_retail,HurdleDLinear,0.75,0.484904,0.361375,0.888252,0.513741
fresh_retail,HurdleDLinear,1.0,0.498826,0.353835,0.944047,0.514741
fresh_retail,HurdleDLinear,1.5,0.303711,0.81958,0.974735,0.890449
fresh_retail,HurdleDLinear,2.0,0.308639,0.806987,0.989895,0.889131
fresh_retail,LSTM,0.1,0.360806,0.310982,0.0365685,0.0654418
fresh_retail,LSTM,0.25,0.361257,0.405595,0.133545,0.200932
fresh_retail,LSTM,0.5,0.359331,0.492116,0.59642,0.539271
fresh_retail,LSTM,0.75,0.378529,0.444334,0.817131,0.575647
fresh_retail,LSTM,1.0,0.412488,0.401807,0.911093,0.557672
fresh_retail,LSTM,1.5,0.253951,0.864971,0.953295,0.906988
fresh_retail,LSTM,2.0,0.267902,0.833388,0.980315,0.9009
fresh_retail,MOMENT,0.1,0.458723,0.377682,0.000777866,0.00155253
fresh_retail,MOMENT,0.25,0.45876,0.390572,0.00307611,0.00610414
fresh_retail,MOMENT,0.5,0.461119,0.365113,0.0486785,0.0859039
fresh_retail,MOMENT,0.75,0.483726,0.339444,0.266136,0.298353
fresh_retail,MOMENT,1.0,0.535691,0.33122,0.607222,0.428634
fresh_retail,MOMENT,1.5,0.380998,0.786575,0.936087,0.854843
fresh_retail,MOMENT,2.0,0.358787,0.783786,0.989041,0.874531
fresh_retail,Moirai,0.1,0.285823,0.603554,0.351313,0.444117
fresh_retail,Moirai,0.25,0.285112,0.596732,0.453275,0.515204
fresh_retail,Moirai,0.5,0.285401,0.569722,0.600698,0.5848
fresh_retail,Moirai,0.75,0.295972,0.516279,0.746805,0.610505
fresh_retail,Moirai,1.0,0.344273,0.43121,0.897719,0.582583
fresh_retail,Moirai,1.5,0.192218,0.897075,0.95986,0.927406
fresh_retail,Moirai,2.0,0.212225,0.856386,0.986756,0.916961
fresh_retail,PatchMixer,0.1,0.283275,0.769606,0.139309,0.235914
fresh_retail,PatchMixer,0.25,0.280867,0.689495,0.339158,0.454668
fresh_retail,PatchMixer,0.5,0.282417,0.577948,0.641863,0.608231
fresh_retail,PatchMixer,0.75,0.30361,0.490704,0.836383,0.618522
fresh_retail,PatchMixer,1.0,0.344009,0.427128,0.930187,0.585434
fresh_retail,PatchMixer,1.5,0.186005,0.900614,0.962549,0.930552
fresh_retail,PatchMixer,2.0,0.208658,0.85757,0.987738,0.918063
fresh_retail,PatchTCN,0.1,0.290032,0.804596,0.0652966,0.12079
fresh_retail,PatchTCN,0.25,0.287841,0.7071,0.218068,0.333336
fresh_retail,PatchTCN,0.5,0.2863,0.584312,0.572324,0.578256
fresh_retail,PatchTCN,0.75,0.306219,0.49204,0.814399,0.613449
fresh_retail,PatchTCN,1.0,0.342466,0.432984,0.915195,0.587852
fresh_retail,PatchTCN,1.5,0.189919,0.904711,0.952678,0.928075
fresh_retail,PatchTCN,2.0,0.209422,0.861069,0.982975,0.917992
fresh_retail,PatchTSMixer,0.1,0.297084,0.790516,0.0564395,0.105357
fresh_retail,PatchTSMixer,0.25,0.294516,0.683117,0.247892,0.363776
fresh_retail,PatchTSMixer,0.5,0.294551,0.566282,0.616388,0.590274
fresh_retail,PatchTSMixer,0.75,0.315012,0.484493,0.836401,0.61357
fresh_retail,PatchTSMixer,1.0,0.353278,0.425228,0.926041,0.582828
fresh_retail,PatchTSMixer,1.5,0.197586,0.896032,0.958375,0.926155
